FID,SiteID,longitude,latitude,elevation_,summary,Year,prec_cm,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,H,POINT_X,POINT_Y
0,CT15,-72.6081,41.84,209,Annual,"2,000",118.28,0.85,0.367,0.213,2.815,2.25,13.45,5.09,16,0.38,1909352.5,2329193.78
1,KY03,-85.0489,37.7047,293,Annual,"2,000",104.15,1.32,0.177,0.208,0.75,2.66,11.6,1.25,15.67,0.26,954240.28,1684768.46
2,KY22,-82.9936,37.0778,335,Annual,"2,000",90.18,1.37,0.153,0.361,0.388,2.02,12.29,0.78,15.4,0.36,1141886.36,1637735.37
3,KY35,-83.5469,38.1183,204,Annual,"2,000",111.49,1.65,0.256,1.003,0.669,2.55,12.01,1.26,19.11,0.32,1078357.57,1746838.42
4,MA08,-72.3444,42.3925,306,Annual,"2,000",132.35,0.74,0.238,0.212,1.721,2.24,17.93,3.19,19.2,0.55,1915209.39,2394411.7
5,MA13,-71.2147,42.3839,18,Annual,"2,000",108.99,0.93,0.436,0.229,3.542,1.99,13.81,6.27,21.14,0.41,2004885.98,2416781.37
6,MD03,-76.9953,39.4089,172,Annual,"2,000",94.2,0.87,0.16,0.235,0.688,2.24,13.27,1.74,18.9,0.48,1610688.48,1982329.11
7,MD13,-76.1525,38.9131,6,Annual,"2,000",108.27,0.8,0.227,0.206,1.483,2.26,13.25,3.09,18.53,0.47,1692619.73,1942564.68
8,ME00,-68.0147,46.8689,191,Annual,"2,000",94.82,0.72,0.104,0.104,0.796,1.06,6.73,1.38,7.8,0.17,2111726.87,2966375.54
9,ME02,-70.7289,44.1075,222,Annual,"2,000",109.45,0.56,0.142,0.241,0.865,1.71,11.09,1.7,11.77,0.26,1992683.31,2612823.59
10,ME09,-69.6644,45.4897,322,Annual,"2,000",109.41,0.47,0.12,0.153,0.788,1.17,7.59,1.46,8.03,0.19,2032408.78,2783607
11,ME98,-68.2606,44.3739,129,Annual,"2,000",128.63,1.08,1.351,0.489,11.988,1.67,12.01,19.14,15.74,0.39,2173466.6,2695479.1
12,NH02,-71.7033,43.9431,250,Annual,"2,000",123.37,0.72,0.123,0.21,0.567,2.2,14.93,1.21,16.04,0.44,1922201.97,2575040.51
13,NJ00,-74.43,39.47,2,Annual,"2,000",126.02,0.98,1.437,0.542,12.564,1.36,11,22.09,16.89,0.35,1823043.22,2035369.21
14,NJ99,-74.8547,40.315,72,Annual,"2,000",101.32,0.89,0.274,0.203,1.763,2.27,14.82,3.27,18.77,0.4,1766855.07,2119649.94
15,NY08,-76.6597,42.7339,249,Annual,"2,000",82.76,1.34,0.174,0.157,0.323,3.91,16.51,0.87,21.78,0.45,1563509.65,2352616.36
16,NY10,-79.3964,42.2994,488,Annual,"2,000",108.62,1.66,0.228,0.163,0.402,3.98,22.4,1.27,28.18,0.63,1353157.13,2262906.18
17,NY20,-74.2208,43.9725,500,Annual,"2,000",121.74,1,0.146,0.134,0.341,2.17,15.39,0.78,14.56,0.38,1725995.35,2529899.24
18,NY52,-75.9472,43.5261,245,Annual,"2,000",123.54,2.16,0.321,0.408,0.581,4.82,26.75,1.38,27.23,0.52,1601736.3,2451067.21
19,NY68,-74.5036,41.9942,634,Annual,"2,000",149.92,1.11,0.18,0.195,0.705,3.3,21.99,1.65,28.17,0.67,1753531.98,2309436.07
20,NY98,-73.8594,44.3933,610,Annual,"2,000",121.93,0.89,0.134,0.354,0.293,2.24,14.46,0.68,14.08,,1743290.29,2582158.22
21,OH09,-84.7242,39.5314,284,Annual,"2,000",112.98,1.68,0.226,0.26,0.61,3.16,15.96,1.42,23.53,0.48,958166.88,1891377.01
